target_index,lead,time_index,truth,q05,q50,q95
32,3,498,0.23407460749149323,-1.1181755065917969,-0.12449449300765991,0.7620087265968323
32,4,499,0.7012866139411926,-1.041660189628601,-0.09845659136772156,0.7303030490875244
32,5,500,1.1851747035980225,-1.0062694549560547,-0.04557853564620018,0.7160430550575256
33,1,496,-0.13107527792453766,-1.185825228691101,-0.3662436902523041,0.445150762796402
33,2,497,-0.025883160531520844,-1.1876364946365356,-0.4007045328617096,0.3604120910167694
33,3,498,0.5052915811538696,-0.9741906523704529,-0.261515736579895,0.4439607262611389
33,4,499,-0.22920340299606323,-0.9762313961982727,-0.3356096148490906,0.472464919090271
33,5,500,-0.6143852472305298,-1.1586103439331055,-0.37037646770477295,0.37308818101882935
34,1,496,-0.9950652718544006,-1.8865360021591187,-0.832351803779602,-0.042233169078826904
34,2,497,-0.018255159258842468,-1.8677518367767334,-0.8263329267501831,-0.054324567317962646
34,3,498,-0.027823403477668762,-1.8508222103118896,-0.8155396580696106,-0.04685419797897339
34,4,499,0.09475159645080566,-1.8968243598937988,-0.8171083331108093,-0.09724968671798706
34,5,500,-0.0022653043270111084,-1.9087562561035156,-0.8005717396736145,-0.16418993473052979
35,1,496,-1.1108752489089966,-2.1369032859802246,-1.1678358316421509,-0.39857733249664307
35,2,497,-0.9500551223754883,-2.059934139251709,-1.102477788925171,-0.3391820192337036
35,3,498,-0.8779544234275818,-1.9395273923873901,-1.0296404361724854,-0.292660117149353
35,4,499,-1.2064495086669922,-1.7737460136413574,-0.9135464429855347,-0.1451074481010437
35,5,500,-0.5396592617034912,-1.7885663509368896,-0.9218493700027466,-0.16440439224243164
36,1,496,0.46140074729919434,-0.5291504859924316,0.22432881593704224,0.9909088611602783
36,2,497,0.5749948620796204,-0.5357394218444824,0.14518699049949646,0.9341772794723511
36,3,498,0.7856705784797668,-0.5508336424827576,0.06534676998853683,0.947441816329956
36,4,499,0.7930375933647156,-0.45320069789886475,0.1621219515800476,0.9665816426277161
36,5,500,0.8057336807250977,-0.3341978192329407,0.3299347162246704,1.1850426197052002
37,1,496,1.2472918033599854,-0.259027361869812,0.7681173086166382,1.562099575996399
37,2,497,1.2784258127212524,-0.3223000168800354,0.6463730931282043,1.493875503540039
37,3,498,1.2541565895080566,-0.39663076400756836,0.5282356142997742,1.3829528093338013
37,4,499,0.2919386029243469,-0.4088517427444458,0.4691166281700134,1.3905338048934937
37,5,500,1.3225736618041992,-0.5186867713928223,0.38977861404418945,1.2583632469177246
38,1,496,-0.5932852625846863,-1.7179690599441528,-1.046151876449585,-0.1326093077659607
38,2,497,-0.5438061356544495,-1.6865108013153076,-1.1138575077056885,-0.1473349928855896
38,3,498,-1.111964464187622,-1.733748435974121,-1.1112467050552368,-0.15596473217010498
38,4,499,-1.9250054359436035,-1.6196355819702148,-0.9089884757995605,-0.052542150020599365
38,5,500,-0.6886782646179199,-1.5098206996917725,-0.7689803838729858,0.07353204488754272
39,1,496,-1.1608582735061646,-2.0486221313476562,-1.0406417846679688,-0.05698603391647339
39,2,497,-0.9793471097946167,-2.0430870056152344,-0.9894018173217773,-0.03474849462509155
39,3,498,-1.5525743961334229,-1.9042534828186035,-0.7822001576423645,0.14354026317596436
39,4,499,-2.0695152282714844,-1.6982792615890503,-0.6544299125671387,0.3401449918746948
39,5,500,-1.270309329032898,-1.7507953643798828,-0.7179681062698364,0.3955153226852417
40,1,496,0.4784057140350342,-0.7796778082847595,0.07234229147434235,0.8162757754325867
40,2,497,0.15471184253692627,-0.7913835048675537,0.0590021088719368,0.8005174994468689
40,3,498,-0.24035640060901642,-0.788790225982666,0.04349079728126526,0.8008459806442261
40,4,499,0.005551598966121674,-0.8503864407539368,0.06623555719852448,0.8476332426071167
40,5,500,0.1501016914844513,-0.8652470111846924,0.03533431887626648,0.8746010065078735
41,1,496,-0.26870524883270264,-1.4663039445877075,-0.4685836136341095,0.4217415750026703
41,2,497,-0.5952481627464294,-1.356171727180481,-0.44356676936149597,0.41706570982933044
41,3,498,-0.21402539312839508,-1.3248380422592163,-0.4458755552768707,0.44515737891197205
41,4,499,-0.42235642671585083,-1.24784517288208,-0.5154650807380676,0.4352191686630249
41,5,500,-0.20727631449699402,-1.289745569229126,-0.604214608669281,0.5843873620033264
42,1,496,0.8725706934928894,-0.46275344491004944,0.3944454491138458,1.1014792919158936
42,2,497,1.0843368768692017,-0.4104870855808258,0.3996971547603607,1.1581940650939941
42,3,498,1.2259745597839355,-0.4294721782207489,0.3796243369579315,1.1400463581085205
42,4,499,0.8945925831794739,-0.4760161340236664,0.2958346903324127,1.1326336860656738
42,5,500,1.3117096424102783,-0.46658337116241455,0.3475227355957031,1.2080776691436768
43,1,496,-0.5960263013839722,-1.4689580202102661,-0.6610540747642517,0.18135464191436768
43,2,497,-0.40803617238998413,-1.514134407043457,-0.6130702495574951,0.24902409315109253
43,3,498,-0.4883784055709839,-1.4490007162094116,-0.6493324637413025,0.21517473459243774
43,4,499,-0.6051893830299377,-1.5455782413482666,-0.7637337446212769,0.044815242290496826
43,5,500,-0.2734493017196655,-1.5540199279785156,-0.7641806602478027,0.09414005279541016
44,1,496,-1.4389442205429077,-2.716712474822998,-1.8130478858947754,-0.794395923614502
44,2,497,-1.0757660865783691,-2.685455799102783,-1.813904881477356,-0.8241701126098633
44,3,498,-0.6282253861427307,-2.8193202018737793,-1.8095483779907227,-0.8232634663581848
44,4,499,-0.7199844121932983,-2.6989405155181885,-1.7605183124542236,-0.8148724436759949
44,5,500,-0.6126272678375244,-2.6741607189178467,-1.8287286758422852,-0.8370895385742188
45,1,496,-0.7712442874908447,-1.2397692203521729,-0.30426037311553955,0.3989264965057373
45,2,497,-0.7550941705703735,-1.1506917476654053,-0.14052626490592957,0.6963131427764893
45,3,498,-0.5365174412727356,-1.020979642868042,-0.007523558102548122,0.7306610941886902
45,4,499,-0.11288340389728546,-1.0027999877929688,0.03738029673695564,0.8809137940406799
45,5,500,0.15106169879436493,-0.8489057421684265,0.15716809034347534,0.9207760691642761
46,1,496,0.6796076893806458,-0.19475960731506348,0.7402635216712952,1.5052058696746826
46,2,497,0.3482598662376404,-0.19624698162078857,0.7122032642364502,1.4975361824035645
46,3,498,0.6477015614509583,-0.1556171178817749,0.7814522981643677,1.4793636798858643
46,4,499,0.19783559441566467,-0.13774162530899048,0.7955822348594666,1.5356613397598267
46,5,500,0.7028946876525879,-0.1625235676765442,0.7533214092254639,1.5258433818817139
47,1,496,-1.3778811693191528,-2.35085129737854,-1.4134809970855713,-0.364851713180542
47,2,497,-1.514557123184204,-2.366790771484375,-1.4671121835708618,-0.44292211532592773
47,3,498,-1.426668405532837,-2.258091926574707,-1.352401852607727,-0.3483622074127197
47,4,499,-1.873577356338501,-2.3363866806030273,-1.3733972311019897,-0.36015820503234863
47,5,500,-1.7311782836914062,-2.391314744949341,-1.5178941488265991,-0.4156806468963623
48,1,496,-0.11770026385784149,-1.3412474393844604,-0.40522536635398865,0.5298902988433838
48,2,497,0.31466084718704224,-1.2121825218200684,-0.2942913770675659,0.6315630674362183
48,3,498,-0.31486737728118896,-1.0333142280578613,-0.12498800456523895,0.8036755323410034
48,4,499,-1.4764244556427002,-0.9379984140396118,-0.029421702027320862,0.9202766418457031
48,5,500,-0.9367283582687378,-0.9911816120147705,0.02691352739930153,1.0384942293167114
49,1,496,0.5240137577056885,0.13513898849487305,0.9817262887954712,1.7445900440216064
49,2,497,0.6040488481521606,0.15460968017578125,1.0196648836135864,1.8390368223190308
49,3,498,0.19077859818935394,0.03885573148727417,0.8924388289451599,1.7483726739883423
49,4,499,-0.24947339296340942,0.17920488119125366,0.9734442830085754,1.8426250219345093
49,5,500,0.2678256928920746,-0.07691454887390137,0.9561120271682739,1.765134572982788
50,1,496,0.6568686962127686,-0.8177671432495117,0.2546316385269165,1.2507212162017822
50,2,497,-0.21514515578746796,-0.8287889957427979,0.23453012108802795,1.1714279651641846
50,3,498,0.211680606007576,-1.0218812227249146,0.13371802866458893,1.1656343936920166
50,4,499,0.4882775843143463,-1.1362006664276123,0.16207346320152283,1.147976279258728
50,5,500,0.4982476830482483,-1.2124449014663696,0.10311612486839294,1.1438738107681274
51,1,496,0.13720372319221497,-0.4098222255706787,0.40377354621887207,1.1864233016967773
51,2,497,0.046259842813014984,-0.3540499806404114,0.3480510115623474,1.1423845291137695
51,3,498,0.21701160073280334,-0.3706250786781311,0.41488808393478394,1.126830816268921
51,4,499,0.7090585827827454,-0.34488528966903687,0.39687395095825195,1.1600914001464844
51,5,500,0.5613386631011963,-0.33863353729248047,0.33627748489379883,1.1884055137634277
52,1,496,-0.011028271168470383,-0.1770915985107422,0.7001082301139832,1.5251014232635498
52,2,497,-0.08707715570926666,-0.1852320432662964,0.6950963139533997,1.5268908739089966
52,3,498,0.10867159813642502,-0.04381251335144043,0.7397633790969849,1.5740588903427124
52,4,499,-0.4028434157371521,-0.13297384977340698,0.6876909136772156,1.569486141204834
52,5,500,0.1881936937570572,-0.16462242603302002,0.7109758853912354,1.6375327110290527
53,1,496,-0.6123572587966919,-2.5568902492523193,-1.6960200071334839,-0.8461302518844604
53,2,497,-1.2321771383285522,-2.488952875137329,-1.620010495185852,-0.7637948393821716
53,3,498,-1.2341864109039307,-2.5247669219970703,-1.6221084594726562,-0.807316243648529
53,4,499,-1.1680314540863037,-2.5863399505615234,-1.568563461303711,-0.8611574769020081
53,5,500,-0.5821113586425781,-2.6159660816192627,-1.5459262132644653,-0.8747159242630005
54,1,496,-0.7754513025283813,-1.7644011974334717,-0.9572696685791016,-0.08301711082458496
54,2,497,-0.7747571468353271,-1.8645553588867188,-1.046125054359436,-0.15984350442886353
54,3,498,0.09304659813642502,-1.8968284130096436,-1.1006512641906738,-0.15874439477920532
54,4,499,-0.7333623766899109,-2.005669593811035,-1.1861941814422607,-0.3401992917060852
54,5,500,-0.8802493810653687,-2.1831047534942627,-1.3576468229293823,-0.4366875886917114
55,1,496,-1.3538051843643188,-1.8744370937347412,-0.8666365146636963,-0.17744851112365723
55,2,497,-0.9102461338043213,-1.8658192157745361,-0.9508574604988098,-0.2159397006034851
