input_chunk_length,output_chunk_length,kernel_size,n_epochs,use_covariates,use_revin,batch_size,lr,weight_decay,const_init,Split,RMSE,MSE,MAE,R2
36,24,19,30,FALSE,TRUE,64,0.0003,0,TRUE,TEST,1.620444221,2.625839472,1.172950149,0.943551838
36,24,19,30,FALSE,TRUE,64,0.0003,1.00E-06,TRUE,TEST,1.620462097,2.625897408,1.172962546,0.943551302
36,24,19,30,FALSE,TRUE,64,0.0003,1.00E-05,TRUE,TEST,1.620625109,2.626425743,1.17307508,0.943546653
36,24,31,80,FALSE,TRUE,32,0.0003,0.0001,TRUE,TEST,1.621018668,2.627701521,1.186160088,0.942617416
60,24,25,30,FALSE,TRUE,32,0.0003,1.00E-05,TRUE,TEST,1.621346401,2.628764153,1.194976091,0.940914631
60,24,25,30,FALSE,TRUE,64,0.001,1.00E-05,TRUE,TEST,1.621360224,2.628808975,1.192953467,0.939515769
60,24,25,30,FALSE,TRUE,32,0.0003,1.00E-06,TRUE,TEST,1.621408602,2.628965855,1.195181608,0.940919697
60,24,25,30,FALSE,TRUE,32,0.0003,0,TRUE,TEST,1.621416836,2.628992558,1.195208073,0.940920353
36,24,19,80,FALSE,TRUE,32,0.0003,0,TRUE,TEST,1.621418674,2.628998518,1.184663773,0.942134142
36,24,19,80,FALSE,TRUE,32,0.0003,1.00E-06,TRUE,TEST,1.621429556,2.629033804,1.184651256,0.942139983
36,24,19,80,FALSE,TRUE,32,0.0003,1.00E-05,TRUE,TEST,1.62155064,2.629426479,1.184569359,0.942188859
60,24,25,30,FALSE,TRUE,32,0.0003,0.0001,TRUE,TEST,1.62175162,2.630078316,1.19459796,0.940798342
60,24,31,30,FALSE,TRUE,64,0.001,0.0001,TRUE,TEST,1.621965068,2.630770683,1.19128561,0.940411747
36,24,19,30,FALSE,TRUE,64,0.0003,0.0001,TRUE,TEST,1.62221391,2.631577969,1.174157858,0.943502069
60,24,25,30,FALSE,TRUE,64,0.001,1.00E-06,TRUE,TEST,1.622339712,2.631986141,1.194189787,0.939417899
60,24,25,30,FALSE,TRUE,64,0.001,0,TRUE,TEST,1.622457422,2.632368088,1.19433558,0.939406216
36,24,19,80,FALSE,TRUE,32,0.0003,0.0001,TRUE,TEST,1.622832834,2.633586407,1.183754444,0.942582786
60,24,19,30,FALSE,TRUE,32,0.0003,0,TRUE,TEST,1.623361201,2.63530159,1.188800216,0.941912413
60,24,19,30,FALSE,TRUE,32,0.0003,1.00E-06,TRUE,TEST,1.623370087,2.635330439,1.188806057,0.941910684
60,24,19,30,FALSE,TRUE,32,0.0003,1.00E-05,TRUE,TEST,1.623447557,2.63558197,1.188861132,0.941895723
48,24,25,50,FALSE,TRUE,16,0.0003,1.00E-06,TRUE,TEST,1.623674879,2.636320114,1.192922473,0.940407932
60,24,19,30,FALSE,TRUE,32,0.0003,0.0001,TRUE,TEST,1.624106308,2.6377213,1.189482808,0.941747665
48,24,25,50,FALSE,TRUE,16,0.0003,0,TRUE,TEST,1.624196955,2.638015747,1.19326067,0.940379024
48,24,25,30,FALSE,TRUE,16,0.0003,0.0001,TRUE,TEST,1.624947767,2.640455246,1.194217563,0.941208363
48,24,19,50,FALSE,TRUE,16,0.0003,0,TRUE,TEST,1.625152801,2.641121626,1.203840137,0.939859331
48,24,19,50,FALSE,TRUE,16,0.0003,1.00E-06,TRUE,TEST,1.625155515,2.641130447,1.203834534,0.939859211
48,24,19,50,FALSE,TRUE,16,0.0003,1.00E-05,TRUE,TEST,1.625197472,2.641266823,1.203802824,0.939857185
48,24,19,50,FALSE,TRUE,16,0.0003,0.0001,TRUE,TEST,1.626894287,2.646785021,1.204058766,0.939761877
36,24,25,80,FALSE,TRUE,32,0.0003,0.0001,TRUE,TEST,1.627839615,2.649861813,1.189692616,0.942158103
48,24,25,50,FALSE,TRUE,32,0.0003,1.00E-05,TRUE,TEST,1.628614514,2.652385235,1.206330299,0.94012171
48,24,19,50,FALSE,TRUE,64,0.0003,0,TRUE,TEST,1.630463293,2.658410549,1.18761301,0.941080809
48,24,19,50,FALSE,TRUE,64,0.0003,1.00E-06,TRUE,TEST,1.630465413,2.658417463,1.187610149,0.94108063
48,24,19,50,FALSE,TRUE,64,0.0003,1.00E-05,TRUE,TEST,1.630527997,2.65862155,1.187641859,0.941077471
36,24,25,80,FALSE,TRUE,32,0.0003,1.00E-05,TRUE,TEST,1.6311339,2.660597801,1.194213748,0.941286087
48,24,19,30,FALSE,TRUE,16,0.0003,0.0001,TRUE,TEST,1.631204717,2.660828829,1.216935396,0.940487981
48,24,25,50,FALSE,TRUE,32,0.0003,1.00E-06,TRUE,TEST,1.631218968,2.66087532,1.208745241,0.93991226
48,24,19,50,FALSE,TRUE,64,0.0003,0.0001,TRUE,TEST,1.631301838,2.661145687,1.188063622,0.941036224
48,24,25,50,FALSE,TRUE,32,0.0003,0,TRUE,TEST,1.631522367,2.661865234,1.209021449,0.939887762
36,24,25,80,FALSE,TRUE,32,0.0003,1.00E-06,TRUE,TEST,1.632049747,2.663586378,1.195338845,0.941106796
