input_chunk_length,output_chunk_length,kernel_size,n_epochs,use_covariates,use_revin,Split,RMSE,MSE,MAE,R2
60,12,13,50,False,True,VAL,2.2087058946645604,4.878381729125977,1.6475976705551147,0.8650676608085632
60,12,13,50,False,True,TEST,2.0251411718444863,4.101196765899658,1.5068511962890625,0.9086657762527466
60,12,13,50,True,False,VAL,2.835350795618826,8.039214134216309,2.023799180984497,0.8373386263847351
60,12,13,50,True,False,TEST,1.8108416896486237,3.2791476249694824,1.3486286401748657,0.9129323363304138
60,12,13,50,True,True,VAL,2.031121352596789,4.125453948974609,1.4796465635299683,0.8858163356781006
60,12,13,50,True,True,TEST,1.844224642419617,3.4011645317077637,1.3326051235198975,0.9226617217063904
60,12,13,100,False,False,VAL,2.4713014383321963,6.107330799102783,1.7779942750930786,0.8608165979385376
60,12,13,100,False,False,TEST,2.2243472138245246,4.947720527648926,1.6407992839813232,0.8883936405181885
60,12,13,100,False,True,VAL,2.2568775603988436,5.093496322631836,1.6346217393875122,0.8699904680252075
60,12,13,100,False,True,TEST,2.027419836714986,4.11043119430542,1.4649578332901,0.9146978855133057
60,12,13,100,True,False,VAL,2.9830595782395397,8.89864444732666,2.1021697521209717,0.8224713802337646
60,12,13,100,True,False,TEST,1.9661210688027178,3.8656320571899414,1.4418320655822754,0.9009182453155518
60,12,13,100,True,True,VAL,2.250258642801572,5.063663959503174,1.692306399345398,0.8538052439689636
60,12,13,100,True,True,TEST,1.934864589871895,3.7437009811401367,1.434993028640747,0.9012435078620911
60,12,13,200,False,False,VAL,2.522710547833063,6.364068508148193,1.8294727802276611,0.8533477187156677
60,12,13,200,False,False,TEST,2.3974544734828847,5.747787952423096,1.7517509460449219,0.8732239603996277
60,12,13,200,False,True,VAL,2.3893982974988863,5.709224224090576,1.7533502578735352,0.8472223877906799
60,12,13,200,False,True,TEST,2.269392892425022,5.150144100189209,1.646842360496521,0.8932503461837769
60,12,13,200,True,False,VAL,3.083795272315459,9.509793281555176,2.1706018447875977,0.8036379218101501
60,12,13,200,True,False,TEST,2.3945507652396034,5.73387336730957,1.750595211982727,0.8746103644371033
60,12,13,200,True,True,VAL,2.517427639721573,6.337441921234131,1.9217803478240967,0.8247188329696655
60,12,13,200,True,True,TEST,2.3137591259084447,5.353481292724609,1.677709698677063,0.8896360993385315
60,12,25,50,False,False,VAL,2.293312891750756,5.259284019470215,1.6903218030929565,0.874901294708252
60,12,25,50,False,False,TEST,2.0860512234551343,4.351609706878662,1.5394706726074219,0.9040560722351074
60,12,25,50,False,True,VAL,2.1654854513457793,4.689327239990234,1.6151553392410278,0.860736072063446
60,12,25,50,False,True,TEST,1.881266802335712,3.5391647815704346,1.401139497756958,0.9173014760017395
60,12,25,50,True,False,VAL,2.5387266905337635,6.445133209228516,1.8016396760940552,0.8670345544815063
60,12,25,50,True,False,TEST,1.845503022180324,3.405881404876709,1.3688503503799438,0.9151245951652527
60,12,25,50,True,True,VAL,2.0226023950107503,4.090920448303223,1.4765836000442505,0.8868914842605591
60,12,25,50,True,True,TEST,1.885664303641513,3.555729866027832,1.3618431091308594,0.9143728017807007
60,12,25,100,False,False,VAL,2.4256972146336193,5.884006977081299,1.7650243043899536,0.8626991510391235
60,12,25,100,False,False,TEST,2.3193140418374365,5.379217624664307,1.6894475221633911,0.8893675804138184
