seed,target_index,lead,truth,model,q05,q50,q95
43,13,2,0.31335681676864624,STDK_plus_QLSTM,-1.0874481201171875,-0.329637348651886,0.463179349899292
43,13,2,0.31335681676864624,STDK_plus_QConvLSTM,-1.5210835933685303,-0.6376126408576965,0.24414348602294922
43,13,3,0.3680785894393921,STDK,-1.0606021881103516,-0.580517053604126,0.049480319023132324
43,13,3,0.3680785894393921,STDK_plus_QLSTM,-1.161649227142334,-0.39581817388534546,0.3997759222984314
43,13,3,0.3680785894393921,STDK_plus_QConvLSTM,-1.4675695896148682,-0.6449529528617859,0.2911759614944458
43,13,4,0.044160597026348114,STDK,-1.1528292894363403,-0.6718577742576599,-0.034315407276153564
43,13,4,0.044160597026348114,STDK_plus_QLSTM,-1.243931531906128,-0.47476792335510254,0.32106155157089233
43,13,4,0.044160597026348114,STDK_plus_QConvLSTM,-1.344526767730713,-0.5256898403167725,0.420457124710083
43,13,5,0.005186699330806732,STDK,-1.1914829015731812,-0.7048726081848145,-0.05714535713195801
43,13,5,0.005186699330806732,STDK_plus_QLSTM,-1.3312346935272217,-0.5629669427871704,0.2286994457244873
43,13,5,0.005186699330806732,STDK_plus_QConvLSTM,-1.2855510711669922,-0.5378564596176147,0.500941276550293
43,14,1,-1.0902222394943237,STDK,-1.5210151672363281,-1.0402485132217407,-0.4269959330558777
43,14,1,-1.0902222394943237,STDK_plus_QLSTM,-1.748497486114502,-0.8109793066978455,0.48238641023635864
43,14,1,-1.0902222394943237,STDK_plus_QConvLSTM,-1.911182165145874,-1.0273998975753784,-0.0798601508140564
43,14,2,-1.203801155090332,STDK,-1.7974331378936768,-1.3192826509475708,-0.7064613103866577
43,14,2,-1.203801155090332,STDK_plus_QLSTM,-1.833585262298584,-0.910732626914978,0.4704446792602539
43,14,2,-1.203801155090332,STDK_plus_QConvLSTM,-1.7539281845092773,-0.9123495221138,0.010554015636444092
43,14,3,-0.4751453995704651,STDK,-2.0602450370788574,-1.5834344625473022,-0.968306303024292
43,14,3,-0.4751453995704651,STDK_plus_QLSTM,-1.8889060020446777,-0.9785360097885132,0.3326270580291748
43,14,3,-0.4751453995704651,STDK_plus_QConvLSTM,-1.7911593914031982,-0.9658609628677368,0.020169556140899658
43,14,4,-0.5605664253234863,STDK,-2.2825582027435303,-1.8045321702957153,-1.1836912631988525
43,14,4,-0.5605664253234863,STDK_plus_QLSTM,-1.9195642471313477,-1.0153175592422485,0.2082357406616211
43,14,4,-0.5605664253234863,STDK_plus_QConvLSTM,-1.766269564628601,-0.919604480266571,-0.003192603588104248
43,14,5,-0.34483930468559265,STDK,-2.4443061351776123,-1.9604276418685913,-1.3305566310882568
43,14,5,-0.34483930468559265,STDK_plus_QLSTM,-2.0052430629730225,-1.1061592102050781,0.06231522560119629
43,14,5,-0.34483930468559265,STDK_plus_QConvLSTM,-1.757230520248413,-0.9104500412940979,0.01625239849090576
43,15,1,0.37692970037460327,STDK,-0.002165764570236206,0.4464559555053711,1.171053409576416
43,15,1,0.37692970037460327,STDK_plus_QLSTM,-0.2199798822402954,0.58170485496521,1.5769805908203125
43,15,1,0.37692970037460327,STDK_plus_QConvLSTM,-0.7023913264274597,0.2762821316719055,1.2566239833831787
43,15,2,0.8658748269081116,STDK,-0.3703528046607971,0.07593230903148651,0.8059356808662415
43,15,2,0.8658748269081116,STDK_plus_QLSTM,-0.20584481954574585,0.5910671949386597,1.5801318883895874
43,15,2,0.8658748269081116,STDK_plus_QConvLSTM,-0.6206346154212952,0.27496325969696045,1.1853703260421753
43,15,3,0.9942925572395325,STDK,-0.6430370807647705,-0.19447572529315948,0.5483087301254272
43,15,3,0.9942925572395325,STDK_plus_QLSTM,-0.19118732213974,0.5963693857192993,1.575926661491394
43,15,3,0.9942925572395325,STDK_plus_QConvLSTM,-0.5952202081680298,0.27796006202697754,1.2767707109451294
43,15,4,0.45602360367774963,STDK,-0.8948796987533569,-0.43941840529441833,0.3223685920238495
43,15,4,0.45602360367774963,STDK_plus_QLSTM,-0.18561744689941406,0.6020643711090088,1.575390100479126
43,15,4,0.45602360367774963,STDK_plus_QConvLSTM,-0.5172666311264038,0.3840339779853821,1.2977862358093262
43,15,5,0.7434216737747192,STDK,-1.0921796560287476,-0.6255823373794556,0.173683762550354
43,15,5,0.7434216737747192,STDK_plus_QLSTM,-0.18536490201950073,0.6078896522521973,1.574460506439209
43,15,5,0.7434216737747192,STDK_plus_QConvLSTM,-0.46345049142837524,0.4771208167076111,1.3986756801605225
43,16,1,0.4581567049026489,STDK,-0.5659528374671936,-0.1237749382853508,0.5964221954345703
43,16,1,0.4581567049026489,STDK_plus_QLSTM,-0.684186577796936,0.023421932011842728,0.9792822599411011
43,16,1,0.4581567049026489,STDK_plus_QConvLSTM,-0.804706871509552,0.16028107702732086,1.2831788063049316
43,16,2,0.8772748708724976,STDK,-0.7659518122673035,-0.32611945271492004,0.40105095505714417
